Model,CV_Accuracy,CV_Std,Val_Accuracy,Val_F1
Random Forest,0.8368749999999998,0.006558034194787334,0.83525,0.8431230399334712
Logistic Regression,0.7969375000000001,0.005671336923512833,0.7975,0.8106978798586572
SVM,0.6737500000000001,0.00858095638609122,0.67825,0.7042344674801279
XGBoost,0.8605,0.00579129195430519,0.866,0.8689854118515643
